"carat","cut","color","clarity","depth","table","price","x","y","z"
0.5,"Fair","D","VVS1",65.9,64,1792,4.92,5.03,3.28
0.41,"Premium","G","VS2",61,56,1061,4.83,4.81,2.94
0.81,"Good","I","VS2",63.8,58,2617,5.84,5.89,3.74
1.28,"Very Good","H","SI2",60.2,58,5984,7.03,7.13,4.26
1,"Premium","F","VS2",62.1,58,6047,6.45,6.36,3.96
0.38,"Premium","D","VS2",60.8,58,1021,4.73,4.68,2.86
0.3,"Good","H","VS1",63.2,56,526,4.25,4.29,2.7
0.72,"Good","D","SI2",59.7,61,2620,5.78,5.84,3.47
0.31,"Very Good","I","VS2",61.6,56,468,4.36,4.39,2.69
1.23,"Very Good","F","VVS2",62.4,58,10835,6.74,6.89,4.26
1.58,"Ideal","F","SI1",60.2,56,12991,7.57,7.64,4.58
0.36,"Very Good","G","VS1",59.7,56,726,4.64,4.67,2.78
0.92,"Good","D","SI2",57.8,63,3335,6.36,6.4,3.69
0.33,"Very Good","E","VVS1",61.6,53,848,4.46,4.5,2.76
0.81,"Very Good","I","VS2",62.6,59.7,2444,5.86,5.92,3.69
0.32,"Ideal","G","VS1",62.4,56,679,4.37,4.38,2.73
0.41,"Very Good","H","SI1",62.4,56,683,4.74,4.78,2.97
1.2,"Very Good","I","SI2",60.3,57,4514,6.88,6.95,4.17
1.03,"Very Good","D","SI1",60.5,61,5313,6.43,6.47,3.9
0.33,"Ideal","G","VVS1",61.5,56,868,4.45,4.46,2.74
3.04,"Premium","I","SI2",59.3,60,18559,9.51,9.46,5.62
0.3,"Ideal","G","VS1",62.5,57,605,4.29,4.32,2.69
0.31,"Fair","G","VVS2",65.5,58,629,4.25,4.24,2.78
1.03,"Premium","I","VS1",60.4,59,5012,6.51,6.57,3.95
0.39,"Ideal","F","SI1",61.8,57,697,4.68,4.73,2.91
1.13,"Ideal","F","I1",62.2,55,3542,6.63,6.68,4.14
1.5,"Good","J","SI2",63.6,57,6750,7.3,7.23,4.62
0.32,"Ideal","F","IF",61.7,55,929,4.4,4.42,2.72
0.53,"Very Good","E","SI1",63.6,57,1432,5.12,5.16,3.27
1.25,"Ideal","G","VVS2",62.5,54,10636,6.88,6.93,4.31
0.5,"Premium","G","VVS1",61.3,57,1987,5.15,5.07,3.13
0.41,"Good","E","SI1",63.6,56,904,4.73,4.7,3
0.33,"Ideal","E","VVS2",61.2,57,1114,4.47,4.45,2.73
1,"Ideal","E","VS2",62.8,57,6720,6.37,6.34,3.99
1.2,"Very Good","G","SI2",60.2,63,5474,6.81,6.84,4.11
1.38,"Ideal","F","SI2",62,58,7767,7.12,7.17,4.43
1,"Good","J","SI2",62.7,58,3234,6.28,6.32,3.95
1.14,"Ideal","G","VVS2",62.3,55,8743,6.64,6.72,4.18
0.7,"Ideal","F","SI2",62,55,2259,5.69,5.73,3.54
0.52,"Ideal","E","VVS1",61.8,55,3097,5.19,5.2,3.21
0.31,"Very Good","J","SI1",58.1,62,353,4.44,4.47,2.59
0.72,"Premium","E","SI2",62.6,59,2376,5.74,5.7,3.58
0.54,"Very Good","F","VVS2",63.2,54,2115,5.2,5.18,3.28
1.2,"Premium","G","VS2",61.6,59,7661,6.85,6.81,4.21
1,"Ideal","G","SI1",63,55,5096,6.42,6.41,4.04
1.01,"Premium","F","SI2",60,59,4497,6.61,6.48,3.93
0.56,"Ideal","G","VS1",62.2,55,1915,5.31,5.27,3.29
0.31,"Very Good","H","SI1",62.8,58,435,4.28,4.32,2.7
0.5,"Ideal","E","VS2",61.3,57,1624,5.13,5.15,3.15
0.4,"Very Good","E","SI2",63.5,56,798,4.71,4.68,2.98
0.7,"Very Good","F","SI1",63.1,54,2278,5.64,5.67,3.57
1.06,"Ideal","F","VS2",60.5,57,6399,6.6,6.58,3.99
0.46,"Very Good","D","VS2",63.2,56,1262,4.92,4.89,3.1
1.52,"Ideal","I","SI2",60.2,57,7661,7.47,7.38,4.47
2.01,"Good","I","SI1",58.8,60,16731,8.27,8.19,4.84
0.44,"Very Good","E","VVS2",60.7,57,1274,4.9,4.92,2.98
2.01,"Very Good","H","SI2",63.4,58,12617,8.01,7.94,5.06
0.45,"Very Good","G","SI2",59.7,61,764,4.95,5,2.97
0.91,"Premium","F","SI2",62.9,57,3346,6.16,6.11,3.86
0.54,"Ideal","D","VVS1",61.2,57,3494,5.25,5.27,3.22
1.53,"Very Good","F","VS1",60.3,58,15079,7.48,7.51,4.52
0.96,"Good","D","SI2",64,62,3419,6.16,6.13,3.93
0.4,"Very Good","J","VS1",63,58,631,4.66,4.7,2.95
0.58,"Ideal","F","VS1",62.1,56,1983,5.32,5.38,3.32
1,"Good","H","VS1",60.2,63,5668,6.43,6.47,3.88
1.02,"Ideal","I","SI1",62.9,57,3656,6.41,6.37,4.02
3.01,"Premium","F","I1",62.2,56,9925,9.24,9.13,5.73
1.07,"Premium","I","SI2",59.7,59,4206,6.68,6.63,3.97
1.13,"Very Good","H","SI1",60.1,60,4959,6.73,6.77,4.06
1.5,"Very Good","G","VS1",61.7,63,12862,7.31,7.24,4.49
1.7,"Very Good","J","VS1",62.9,58,10165,7.54,7.67,4.79
0.36,"Ideal","G","VVS1",60.9,55,1056,4.64,4.68,2.84
0.34,"Ideal","G","SI1",61.2,57,507,4.53,4.56,2.78
0.41,"Ideal","G","VS2",61.6,54,900,4.81,4.84,2.97
0.33,"Ideal","H","IF",62.1,54,838,4.44,4.48,2.77
0.32,"Very Good","D","SI1",62.6,58,589,4.33,4.36,2.72
0.81,"Fair","H","SI2",66.2,58,1687,5.78,5.74,3.81
1.22,"Ideal","H","SI1",62.1,56,6388,6.87,6.81,4.25
0.31,"Ideal","E","VVS1",61.3,56,1105,4.38,4.4,2.69
0.52,"Ideal","G","VVS2",61.7,55,2338,5.21,5.23,3.22
1.11,"Ideal","F","VS2",61.6,57,7740,6.65,6.67,4.1
0.7,"Premium","J","VS1",59.6,62,1953,5.77,5.7,3.42
0.31,"Premium","I","SI1",60.1,59,418,4.38,4.41,2.64
0.91,"Very Good","F","VVS2",62.6,59,5733,6.1,6.16,3.84
1.06,"Premium","E","SI2",60.5,60,4737,6.67,6.61,4.02
0.96,"Fair","H","I1",61.1,60,1705,6.26,6.07,3.77
1,"Premium","H","SI1",62.9,60,3915,6.36,6.32,3.99
0.72,"Ideal","I","VVS1",61.4,57,2642,5.77,5.8,3.55
0.41,"Premium","H","SI1",62.9,58,876,4.73,4.72,2.97
0.3,"Premium","D","SI2",60.9,58,574,4.32,4.29,2.62
1.2,"Premium","H","VS2",62.4,57,6048,6.73,6.67,4.18
0.9,"Very Good","E","VS2",62.8,57,4419,6.13,6.16,3.86
1.12,"Ideal","F","VS2",61.8,55,9138,6.63,6.67,4.11
2.09,"Premium","H","SI2",62.1,58,17156,8.22,8.17,5.09
0.24,"Ideal","G","SI1",62.2,54,364,3.97,4,2.48
0.73,"Ideal","H","VS2",61,56,3164,5.83,5.88,3.57
0.33,"Ideal","G","VS2",62.2,56,579,4.43,4.44,2.76
0.33,"Very Good","H","VS1",59.7,59,579,4.52,4.53,2.7
0.33,"Very Good","I","VS1",63.2,57,668,4.4,4.37,2.77
0.3,"Ideal","I","VS2",62,55,438,4.3,4.35,2.68
1.05,"Ideal","F","VVS2",61.9,57,8870,6.5,6.52,4.03
1.9,"Very Good","J","SI1",59.2,58,9540,8.1,8.21,4.83
0.72,"Ideal","H","VVS1",62.2,56,2946,5.72,5.75,3.57
1.24,"Ideal","G","VS1",60.1,58,9123,7.03,6.97,4.21
0.75,"Premium","F","SI1",61.7,58,2573,5.85,5.88,3.62
0.71,"Very Good","E","VS2",59.6,60,2954,5.8,5.85,3.47
0.46,"Ideal","J","VS2",61.4,56,746,4.96,5,3.06
0.54,"Ideal","G","SI1",60,57,1999,5.31,5.36,3.2
0.9,"Premium","G","SI2",61.9,61,3175,6.13,6.06,3.77
0.6,"Premium","H","SI1",62.4,58,1170,5.4,5.34,3.35
0.3,"Ideal","G","SI1",62.1,53,422,4.32,4.37,2.7
1.03,"Ideal","G","SI1",62.2,59,5684,6.41,6.45,4
0.74,"Very Good","E","SI1",63.5,56,2803,5.74,5.79,3.66
0.34,"Premium","E","SI1",59.6,57,765,4.61,4.52,2.72
0.42,"Ideal","D","VS2",61.8,56,1103,4.84,4.8,2.98
0.8,"Ideal","H","VS1",62.2,56,3581,5.92,5.95,3.69
1.03,"Ideal","F","I1",61,56,3634,6.58,6.52,3.99
0.72,"Very Good","E","VS2",58.3,57,2872,5.89,5.94,3.45
0.41,"Ideal","E","VS1",62,54,1079,4.76,4.79,2.96
0.9,"Good","D","SI2",62.3,58,3806,6.05,6.27,3.84
0.32,"Premium","I","VVS2",62.1,59,720,4.38,4.35,2.71
0.32,"Ideal","G","VVS2",62.2,55,730,4.41,4.43,2.75
1.22,"Very Good","G","VS2",62.7,58,8377,6.8,6.72,4.24
1.11,"Premium","F","SI1",60.4,61,5091,6.72,6.65,4.04
0.74,"Ideal","D","VS1",61.7,55,3746,5.85,5.79,3.59
0.93,"Premium","G","VS1",62.1,59,4793,6.21,6.16,3.84
1.01,"Good","G","VS2",63.2,57,5599,6.3,6.35,4
0.72,"Good","F","VS2",61.1,60,2705,5.72,5.76,3.51
0.7,"Ideal","I","VVS2",62.5,54,2353,5.68,5.71,3.56
0.62,"Ideal","H","IF",61.9,55,2469,5.5,5.52,3.41
0.44,"Ideal","E","VS2",62.4,57,1073,4.9,4.88,3.05
1.43,"Very Good","G","VS2",62.2,58,10419,7.15,7.18,4.46
0.52,"Ideal","G","VS2",60.8,57,1595,5.19,5.21,3.16
1,"Ideal","D","SI1",61.9,57,5804,6.39,6.41,3.96
0.42,"Ideal","G","SI2",60.7,57,829,4.87,4.84,2.95
0.41,"Ideal","F","VVS1",62.1,57,1356,4.79,4.75,2.96
1.52,"Ideal","D","VS2",62.1,58,15922,7.36,7.4,4.58
0.54,"Ideal","I","SI1",61.9,54,1057,5.25,5.28,3.26
1.5,"Very Good","F","IF",63.2,58,18552,7.2,7.32,4.59
0.53,"Very Good","J","VS1",61.4,56,1106,5.19,5.23,3.2
1.28,"Premium","H","SI2",62,57,6164,7,6.94,4.32
1.01,"Very Good","H","SI2",60.6,61,3888,6.38,6.45,3.89
0.46,"Ideal","D","VS1",62.6,56,1637,4.92,4.95,3.09
0.55,"Very Good","E","VVS2",59.6,59,2312,5.32,5.39,3.19
0.31,"Ideal","H","VS2",62.2,55,489,4.36,4.39,2.72
2.17,"Very Good","J","SI2",60.8,59,13782,8.37,8.41,5.1
0.38,"Ideal","E","IF",62.7,55,1433,4.61,4.67,2.91
0.41,"Ideal","G","VVS1",61.8,55,1230,4.78,4.76,2.95
0.34,"Ideal","F","IF",61.9,55,1276,4.49,4.52,2.79
0.9,"Very Good","G","VVS2",62.1,57,5653,6.14,6.2,3.84
0.34,"Ideal","F","VS1",61.1,55,764,4.53,4.57,2.78
0.31,"Ideal","F","VS1",61.5,54,642,4.36,4.39,2.69
1.05,"Ideal","H","SI2",61.2,57,4331,6.54,6.59,4.02
1.5,"Premium","H","SI2",60.2,59,5937,7.43,7.35,4.45
1.01,"Fair","D","VS2",65.6,61,6176,6.21,6.16,4.06
0.91,"Premium","G","SI2",62.8,59,3047,6.14,6.12,3.85
0.35,"Very Good","E","SI1",60.7,59,614,4.52,4.57,2.76
0.32,"Premium","H","SI1",61.9,58,576,4.38,4.34,2.7
0.56,"Ideal","I","VVS1",61.5,55,1616,5.33,5.37,3.29
0.72,"Ideal","E","SI1",62.1,54,2688,5.76,5.8,3.59
0.31,"Ideal","E","VS2",62.5,54,720,4.33,4.37,2.72
0.4,"Ideal","F","VVS1",61.7,55,1168,4.77,4.79,2.95
